Category: All categories

Week,spring hateoas: (Worldwide)
2021-01-31,46
2021-02-07,0
2021-02-14,63
2021-02-21,0
2021-02-28,62
2021-03-07,16
2021-03-14,0
2021-03-21,0
2021-03-28,16
2021-04-04,16
2021-04-11,31
2021-04-18,31
2021-04-25,15
2021-05-02,31
2021-05-09,32
2021-05-16,0
2021-05-23,16
2021-05-30,16
2021-06-06,0
2021-06-13,0
2021-06-20,48
2021-06-27,0
2021-07-04,64
2021-07-11,49
2021-07-18,100
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,32
2021-08-22,51
2021-08-29,0
2021-09-05,17
2021-09-12,34
2021-09-19,0
2021-09-26,0
2021-10-03,25
2021-10-10,0
2021-10-17,11
2021-10-24,11
2021-10-31,0
2021-11-07,0
2021-11-14,11
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,12
2022-01-16,35
